Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Brandon Bollig,L,L,116.00,3.00,6.00,9.00,-19.00,191.00,0.08,3.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00,2.4,8:55,62.5
Nikolai Borschevsky,L,R,8.00,0.00,5.00,5.00,7.00,0.00,0.63,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,12.00,0,--,--
Jason Botterill,L,L,6.00,1.00,0.00,1.00,-7.00,2.00,0.17,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,6.00,16.7,8:58,--
Joel Bouchard,L,D,126.00,9.00,12.00,21.00,-23.00,110.00,0.17,7.00,16.00,0.00,2.00,2.00,3.00,0.00,1.00,112.00,8,--,--
Bob Boughner,R,D,148.00,5.00,18.00,23.00,14.00,296.00,0.16,5.00,20.00,0.00,2.00,0.00,1.00,0.00,1.00,120.00,4.2,19:07,--
Lance Bouma,L,L,304.00,27.00,40.00,67.00,-8.00,174.00,0.22,26.00,62.00,0.00,1.00,1.00,4.00,0.00,5.00,323.00,8.4,12:04,34
Charlie Bourgeois,R,D,162.00,12.00,34.00,46.00,24.00,430.00,0.28,12.00,44.00,0.00,1.00,0.00,1.00,0.00,0.00,132.00,9.1,--,--
Rene Bourque,L,R,249.00,88.00,76.00,164.00,5.00,241.00,0.66,67.00,122.00,15.00,34.00,6.00,8.00,1.00,12.00,673.00,13.1,17:26,41.3
Jay Bouwmeester,L,D,279.00,18.00,79.00,97.00,-38.00,134.00,0.35,13.00,59.00,5.00,35.00,0.00,3.00,0.00,2.00,413.00,4.4,25:52,--
Dustin Boyd,L,C,192.00,28.00,29.00,57.00,-12.00,35.00,0.30,26.00,49.00,1.00,5.00,1.00,3.00,0.00,7.00,208.00,13.5,11:44,47.8
Steve Bozek,L,L,261.00,64.00,79.00,143.00,22.00,80.00,0.55,50.00,119.00,7.00,13.00,7.00,11.00,0.00,10.00,487.00,13.1,--,--
Brian Bradley,R,C,45.00,10.00,19.00,29.00,5.00,16.00,0.64,8.00,20.00,2.00,9.00,0.00,0.00,0.00,2.00,68.00,14.7,--,--
Chris Breen,L,D,9.00,0.00,2.00,2.00,1.00,5.00,0.22,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0,9:23,--
Mel Bridgman,L,C,142.00,45.00,80.00,125.00,16.00,197.00,0.88,28.00,86.00,15.00,36.00,2.00,3.00,0.00,4.00,272.00,16.5,--,--
Travis Brigley,L,L,19.00,0.00,2.00,2.00,-6.00,6.00,0.11,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,18.00,0,13:57,26.7
TJ Brodie,L,D,634.00,48.00,218.00,266.00,14.00,194.00,0.42,35.00,191.00,10.00,65.00,3.00,10.00,6.00,12.00,768.00,6.3,22:35,0
Troy Brouwer,R,R,150.00,19.00,28.00,47.00,-18.00,84.00,0.31,13.00,28.00,5.00,16.00,1.00,3.00,0.00,2.00,165.00,11.5,15:04,43.1
Jeff Brubaker,L,L,4.00,0.00,0.00,0.00,-1.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0,--,--
Randy Bucyk,L,C,2.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0,--,--
Mike Bullard,L,C,136.00,76.00,81.00,157.00,33.00,102.00,1.15,45.00,94.00,31.00,63.00,0.00,0.00,0.00,6.00,368.00,20.7,--,--
Valeri Bure,R,R,256.00,93.00,99.00,192.00,-28.00,100.00,0.75,57.00,114.00,36.00,78.00,0.00,0.00,4.00,13.00,889.00,10.5,18:37,27.3
Marc Bureau,R,C,19.00,1.00,3.00,4.00,-8.00,8.00,0.21,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,8.3,--,51.4
Chris Butler,L,D,194.00,5.00,34.00,39.00,-42.00,92.00,0.20,4.00,34.00,0.00,3.00,1.00,2.00,1.00,1.00,185.00,2.7,20:00,--
Petr Buzek,L,D,76.00,4.00,8.00,12.00,-2.00,28.00,0.16,1.00,9.00,3.00,3.00,0.00,0.00,0.00,0.00,82.00,4.9,15:22,--
Paul Byron,L,L,130.00,16.00,30.00,46.00,5.00,39.00,0.35,12.00,36.00,3.00,4.00,1.00,6.00,0.00,2.00,122.00,13.1,13:37,33.3
Michael Cammalleri,L,L,216.00,89.00,89.00,178.00,-34.00,111.00,0.82,57.00,109.00,32.00,69.00,0.00,0.00,1.00,19.00,612.00,14.5,18:27,52.4
Brett Carson,R,D,18.00,0.00,1.00,1.00,-1.00,0.00,0.06,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0,11:35,--
Andrew Cassels,L,C,151.00,29.00,52.00,81.00,-19.00,50.00,0.54,17.00,45.00,10.00,27.00,2.00,9.00,1.00,5.00,235.00,12.3,18:34,49.6
Gino Cavallini,L,L,54.00,13.00,17.00,30.00,7.00,40.00,0.56,8.00,21.00,5.00,9.00,0.00,0.00,0.00,0.00,95.00,13.7,--,--
Roman Cervenka,L,C,39.00,9.00,8.00,17.00,-13.00,14.00,0.44,8.00,13.00,1.00,4.00,0.00,0.00,0.00,0.00,51.00,17.7,13:08,46.4
Eric Charron,L,D,35.00,0.00,1.00,1.00,-9.00,55.00,0.03,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0,11:40,--
Richard Chernomaz,R,R,14.00,1.00,0.00,1.00,-9.00,6.00,0.07,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,3.6,--,--
Alex Chiasson,R,R,81.00,12.00,12.00,24.00,-6.00,46.00,0.30,11.00,21.00,0.00,2.00,1.00,1.00,0.00,1.00,104.00,11.5,13:23,24.1
Steve Chiasson,L,D,168.00,15.00,59.00,74.00,2.00,133.00,0.44,6.00,37.00,7.00,34.00,2.00,3.00,0.00,3.00,397.00,3.8,--,--
Tom Chorske,R,R,7.00,0.00,0.00,0.00,-5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0,13:48,71.4
Guy Chouinard,R,C,272.00,98.00,214.00,312.00,-5.00,76.00,1.15,59.00,178.00,39.00,134.00,0.00,0.00,0.00,8.00,689.00,14.2,--,--
Ryan Christie,L,L,2.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,6:10,--
Steve Christoff,R,C,45.00,9.00,8.00,17.00,-2.00,4.00,0.38,9.00,17.00,0.00,0.00,0.00,0.00,0.00,2.00,50.00,18,--,--
Kris Chucko,R,L,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,7:02,0
Shane Churla,R,R,34.00,1.00,5.00,6.00,-1.00,157.00,0.18,1.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,5.9,--,--
Chris Clark,R,R,278.00,35.00,36.00,71.00,-29.00,363.00,0.26,25.00,56.00,9.00,13.00,1.00,2.00,1.00,8.00,462.00,7.6,13:28,34.8
Bill Clement,L,C,211.00,23.00,46.00,69.00,-15.00,93.00,0.33,18.00,54.00,1.00,3.00,4.00,12.00,0.00,4.00,201.00,11.4,--,--
Joe Colborne,L,C,217.00,37.00,63.00,100.00,-19.00,104.00,0.46,31.00,85.00,5.00,14.00,1.00,1.00,0.00,4.00,247.00,15,14:55,51
Blake Comeau,R,L,91.00,9.00,13.00,22.00,-9.00,38.00,0.24,8.00,21.00,0.00,0.00,1.00,1.00,0.00,1.00,161.00,5.6,14:43,39
Mike Commodore,R,D,18.00,0.00,1.00,1.00,-2.00,44.00,0.06,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0,14:03,--
Pat Conacher,L,L,7.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,--,--
Craig Conroy,R,C,507.00,97.00,211.00,308.00,62.00,276.00,0.61,77.00,231.00,15.00,64.00,5.00,13.00,2.00,13.00,755.00,12.9,17:20,53.5
