Player,Hand,Pos,GamesPlayed,G,A,P,PlusMinus,PenaltyMins,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,Intials,GoalsPerGame,GoalsNorm,GWGNorm,PIMNorm,PluMinNorm,AvGPGNorm,Rating
Denis Gauthier,L,D,384,13,45,58,15,515,0.15,12,47,0,4,1,7,0,3,321,DG,0.033854167,0.022900763,0.036144578,0.210196406,0.232876712,0.0449011,-0.003716476
Scott Nichol,R,C,128,13,14,27,-16,256,0.21,9,20,2,4,2,3,0,0,115,SN,0.1015625,0.022900763,0,0.101964062,0.126712329,0.168085727,0.049131555
Neil Sheehy,R,D,222,13,34,47,25,725,0.21,12,45,1,1,0,1,0,0,193,NS,0.058558559,0.022900763,0,0.297952361,0.267123288,0.089846842,-0.021361659
Tim Jackman,R,R,209,13,23,36,-27,297,0.17,12,32,1,4,0,0,0,1,285,TJ,0.062200957,0.022900763,0.012048193,0.119097367,0.089041096,0.096473611,0.023084144
Brendan Morrison,L,C,94,13,41,54,12,22,0.57,9,38,3,14,1,2,0,1,122,BM,0.138297872,0.022900763,0.012048193,0.004178855,0.22260274,0.234919939,0.101446377
Byron Ritchie,L,C,109,12,8,20,1,137,0.18,11,18,0,0,1,2,0,0,80,BR,0.110091743,0.020992366,0,0.052235687,0.184931507,0.183603338,0.065093434
Alex Chiasson,R,R,81,12,12,24,-6,46,0.3,11,21,0,2,1,1,0,1,104,AC,0.148148148,0.020992366,0.012048193,0.014208107,0.160958904,0.252840961,0.106418096
Kari Eloranta,L,D,255,12,96,108,17,149,0.42,10,75,2,31,0,2,0,0,195,KE,0.047058824,0.020992366,0,0.057250313,0.239726027,0.06892489,0.01821913
Charlie Bourgeois,R,D,162,12,34,46,24,430,0.28,12,44,0,1,0,1,0,0,132,CB,0.074074074,0.020992366,0,0.174676139,0.26369863,0.118074874,0.014393959
Tommy Albelin,L,D,339,12,59,71,-10,92,0.21,6,38,5,27,1,6,1,3,382,TA,0.03539823,0.020992366,0.036144578,0.03343084,0.147260274,0.04771028,0.03256947
Tom Kostopoulos,R,R,140,11,15,26,-18,101,0.19,7,21,3,4,1,1,0,1,157,TK,0.078571429,0.019083969,0.012048193,0.037191809,0.119863014,0.126257101,0.050996972
Chris Lindberg,L,L,79,11,17,28,0,35,0.35,10,24,1,1,0,3,0,1,93,CL,0.139240506,0.019083969,0.012048193,0.009611366,0.181506849,0.236634912,0.100664185
Chris Simon,L,L,85,11,16,27,1,119,0.32,8,21,3,6,0,0,0,3,107,CS,0.129411765,0.019083969,0.036144578,0.044713748,0.184931507,0.218753068,0.098539164
Trent Yawney,L,D,274,11,45,56,20,368,0.2,8,35,2,18,1,3,0,1,227,TY,0.040145985,0.019083969,0.012048193,0.148767238,0.25,0.056348072,0.000718274
Bob Murdoch,L,D,227,11,52,63,30,178,0.28,11,59,0,2,0,2,0,1,239,BM,0.04845815,0.019083969,0.012048193,0.069368993,0.284246575,0.071470743,0.022646992
Travis Hamonic,R,D,193,11,31,42,9,139,0.22,10,39,0,0,1,3,0,1,318,TH,0.056994819,0.019083969,0.012048193,0.053071458,0.212328767,0.087001864,0.032118947
Rhett Warrener,R,D,231,11,26,37,19,239,0.16,7,26,1,3,3,8,1,2,168,RW,0.047619048,0.019083969,0.024096386,0.094860008,0.246575342,0.069944129,0.02296224
Andrew Ference,L,D,224,10,53,63,1,210,0.28,6,30,4,31,0,2,0,0,265,AF,0.044642857,0.017175573,0,0.082741329,0.184931507,0.06452942,0.010981059
Craig Berube,L,L,234,10,17,27,-17,628,0.12,9,26,1,1,0,0,0,3,140,CB,0.042735043,0.017175573,0.036144578,0.257417468,0.123287671,0.061058453,-0.007270266
Anton Babchuk,R,D,104,10,28,38,19,26,0.37,3,23,6,14,1,1,0,2,140,AB,0.096153846,0.017175573,0.024096386,0.005850397,0.246575342,0.158245535,0.075893884
Cory Sarich,R,D,379,10,49,59,22,462,0.16,10,53,0,2,0,4,0,2,285,CS,0.026385224,0.017175573,0.024096386,0.188048475,0.256849315,0.031312539,-0.011318929
Noah Hanifin,L,D,150,10,45,55,6,24,0.37,7,43,2,10,1,2,0,2,248,NH,0.066666667,0.017175573,0.024096386,0.005014626,0.202054795,0.104598265,0.054602131
Cale Hulse,R,D,277,10,44,54,-16,449,0.19,7,43,1,8,2,3,0,0,310,CH,0.036101083,0.017175573,0,0.182615963,0.126712329,0.04898901,-0.015210031
Sheldon Kennedy,R,R,71,10,15,25,8,81,0.35,9,24,1,1,0,0,0,1,98,SK,0.14084507,0.017175573,0.012048193,0.028834099,0.20890411,0.239554163,0.097796499
Ric Nattress,R,D,226,9,53,62,39,204,0.27,9,58,0,1,0,3,1,1,245,RN,0.039823009,0.015267176,0.012048193,0.080234016,0.315068493,0.055760467,0.013808197
Blake Comeau,R,L,91,9,13,22,-9,38,0.24,8,21,0,0,1,1,0,1,161,BC,0.098901099,0.015267176,0.012048193,0.010865023,0.150684932,0.163243727,0.0706753
Bill Lindsay,L,L,132,9,21,30,-15,183,0.23,9,26,0,2,0,2,0,2,204,BL,0.068181818,0.015267176,0.024096386,0.07145842,0.130136986,0.107354844,0.042225164
Deryk Engelland,R,D,226,9,30,39,-7,192,0.17,9,37,0,0,0,2,0,2,229,DE,0.039823009,0.015267176,0.024096386,0.07521939,0.157534247,0.055760467,0.020835219
Ronald Petrovicky,R,R,107,9,12,21,0,139,0.2,7,17,2,4,0,0,0,2,108,RP,0.08411215,0.015267176,0.024096386,0.053071458,0.181506849,0.136337568,0.057495646
Joel Bouchard,L,D,126,9,12,21,-23,110,0.17,7,16,0,2,2,3,0,1,112,JB,0.071428571,0.015267176,0.012048193,0.040952779,0.102739726,0.1132618,0.044664978
Roger Johansson,L,D,150,8,34,42,31,157,0.28,7,36,1,5,0,1,0,0,165,RJ,0.053333333,0.013358779,0,0.060593397,0.287671233,0.08034037,0.021353346
Michel Petit,R,D,134,8,40,48,2,243,0.36,3,35,5,12,0,1,0,0,229,MP,0.059701493,0.013358779,0,0.09653155,0.188356164,0.09192623,0.01880006
Brian McGrattan,R,R,137,8,7,15,-7,239,0.11,8,15,0,0,0,0,0,1,126,BMG,0.058394161,0.013358779,0.012048193,0.094860008,0.157534247,0.089547746,0.024207071
Darren McCarty,R,R,99,7,6,13,-4,175,0.13,6,11,1,2,0,0,0,0,82,DMC,0.070707071,0.011450382,0,0.068115336,0.167808219,0.111949143,0.032301628
Todd Hlushko,L,L,77,7,13,20,-1,84,0.26,7,19,0,0,0,1,0,0,92,TH,0.090909091,0.011450382,0,0.030087756,0.178082192,0.14870353,0.054608899
Kevin Dahl,R,D,179,7,22,29,10,149,0.16,6,27,1,2,0,0,0,1,124,KD,0.039106145,0.011450382,0.012048193,0.057250313,0.215753425,0.054456247,0.017501571
Rasmus Andersson,R,D,160,7,34,41,8,84,0.26,7,35,0,6,0,0,0,0,247,RA,0.04375,0.011450382,0,0.030087756,0.20890411,0.062905007,0.02028949
Michael Stone,R,D,148,7,21,28,-11,74,0.19,7,27,0,1,0,0,0,0,191,MS,0.047297297,0.011450382,0,0.025908901,0.143835616,0.069358755,0.02370676
Wayne Primeau,L,C,94,6,15,21,-8,76,0.22,5,20,0,0,1,1,0,2,96,WP,0.063829787,0.009541985,0.024096386,0.026744672,0.154109589,0.099437011,0.047428261
Jeff Friesen,L,L,72,6,6,12,-2,34,0.17,5,9,0,1,1,2,0,0,55,JF,0.083333333,0.009541985,0,0.009193481,0.174657534,0.134920635,0.053083756
Roman Horak,L,C,82,5,13,18,-2,16,0.22,5,17,0,0,0,1,0,1,81,RH,0.06097561,0.007633588,0.012048193,0.001671542,0.174657534,0.094244286,0.044150861
Chris Butler,L,D,194,5,34,39,-42,92,0.2,4,34,0,3,1,2,1,1,185,CB,0.025773196,0.007633588,0.012048193,0.03343084,0.037671233,0.03019905,0.012180907
Brian Glynn,L,D,77,5,15,20,-2,106,0.26,1,9,4,10,0,1,0,1,88,BG,0.064935065,0.007633588,0.012048193,0.039281237,0.174657534,0.101447889,0.039510364
Oliver Kylington,L,D,87,5,10,15,-3,26,0.17,5,15,0,0,0,0,0,1,59,OK,0.057471264,0.007633588,0.012048193,0.005850397,0.171232877,0.087868682,0.040764849
Bob Boughner,R,D,148,5,18,23,14,296,0.16,5,20,0,2,0,1,0,1,120,BB,0.033783784,0.007633588,0.012048193,0.118679482,0.229452055,0.04477305,0.000960779
Adam Pardy,L,D,147,4,22,26,3,141,0.18,4,25,0,1,0,0,0,0,114,AP,0.027210884,0.005725191,0,0.053907229,0.191780822,0.032814697,0.002916952
Rob Ramage,R,D,80,4,19,23,42,193,0.29,1,15,3,7,0,1,0,0,103,RR,0.05,0.005725191,0,0.075637275,0.325342466,0.074275896,0.015155422
Steve Montador,R,D,94,4,5,9,-12,201,0.1,4,8,0,1,0,0,0,1,118,SM,0.042553191,0.005725191,0.012048193,0.078980359,0.140410959,0.060727603,0.015091585
Todd Simpson,L,D,214,4,26,30,-6,500,0.14,4,28,0,0,0,2,0,1,191,TS,0.018691589,0.005725191,0.012048193,0.203928124,0.160958904,0.017315183,-0.027262936
Igor Kravchuk,L,D,115,4,30,34,-9,23,0.3,3,13,1,20,0,1,0,1,189,IK,0.034782609,0.005725191,0.012048193,0.00459674,0.150684932,0.046590254,0.024313369
Petr Buzek,L,D,76,4,8,12,-2,28,0.16,1,9,3,3,0,0,0,0,82,PB,0.052631579,0.005725191,0,0.006686168,0.174657534,0.079063638,0.030860741
Steve Dubinsky,L,R,84,4,11,15,-19,18,0.18,2,12,0,0,2,3,0,0,98,SD,0.047619048,0.005725191,0,0.002507313,0.116438356,0.069944129,0.028048708
Chris Dahlquist,L,D,151,4,18,22,5,118,0.15,4,19,0,1,0,2,0,1,121,CD,0.026490066,0.005725191,0.012048193,0.044295863,0.198630137,0.031503282,0.010338756
Richie Dunn,L,D,80,3,11,14,-3,47,0.18,3,13,0,1,0,0,0,1,88,RD,0.0375,0.003816794,0.012048193,0.014625992,0.171232877,0.051534119,0.024094225
Jamie Huscroft,R,D,109,3,13,16,16,279,0.15,3,16,0,0,0,0,0,1,90,JH,0.027522936,0.003816794,0.012048193,0.111575428,0.23630137,0.033382425,-0.00255634
Brad Marsh,L,D,177,3,22,25,-34,216,0.14,3,24,0,0,0,1,0,0,148,BM,0.016949153,0.003816794,0,0.085248642,0.065068493,0.014145095,-0.011010011
Dan Keczmer,L,D,98,3,23,26,-1,72,0.27,3,12,0,14,0,0,0,0,150,DK,0.030612245,0.003816794,0,0.02507313,0.178082192,0.039002935,0.010968228
Brandon Bollig,L,L,116,3,6,9,-19,191,0.08,3,9,0,0,0,0,0,0,123,BB,0.025862069,0.003816794,0,0.074801504,0.116438356,0.03036074,-0.002434325
Brett Kulak,L,D,101,2,9,11,-8,41,0.11,2,11,0,0,0,0,0,0,101,BK,0.01980198,0.001908397,0,0.012118679,0.154109589,0.019335365,0.00550125
Blake Sloan,R,R,74,2,10,12,-4,32,0.16,2,12,0,0,0,0,0,0,63,BS,0.027027027,0.001908397,0,0.00835771,0.167808219,0.032480197,0.011511377
Derek Smith,L,D,83,2,11,13,-16,24,0.16,2,9,0,4,0,0,0,1,74,DS,0.024096386,0.001908397,0.012048193,0.005014626,0.126712329,0.027148358,0.016071354
Ladislav Smid,L,D,109,1,6,7,-23,81,0.06,1,7,0,0,0,0,0,0,67,LS,0.009174312,0,0,0.028834099,0.102739726,0,-0.00576682
Steve Smith,L,D,102,1,20,21,-12,139,0.21,1,19,0,2,0,0,0,0,55,SS,0.009803922,0,0,0.053071458,0.140410959,0.001145475,-0.010156102
