Player,Hand,Pos,GamesPlayed,G,A,P,PlusMinus,PenaltyMins,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,Intials,GoalsPerGame,GoalsNorm,GWGNorm,PIMNorm,PluMinNorm,AvGPGNorm,Rating
Rene Bourque,L,R,249,88,76,164,5,241,0.66,67,122,15,34,6,8,1,12,673,RB,0.353413655,0.166030534,0.144578313,0.095695779,0.198630137,0.626289153,0.320268715
Eddy Beers,L,L,226,87,105,192,23,232,0.85,52,135,35,57,0,0,1,7,524,EB,0.384955752,0.164122137,0.084337349,0.09193481,0.260273973,0.683675021,0.313663935
Alex Tanguay,L,L,342,86,198,284,17,166,0.83,68,198,14,80,4,6,1,9,476,AT,0.251461988,0.16221374,0.108433735,0.064354367,0.239726027,0.440804187,0.233889043
Doug Gilmour,L,C,266,81,214,295,104,288,1.11,48,189,29,93,4,13,0,14,512,DG,0.304511278,0.152671756,0.168674699,0.115336398,0.537671233,0.537318997,0.291464844
Mike Bullard,L,C,136,76,81,157,33,102,1.15,45,94,31,63,0,0,0,6,368,MB,0.558823529,0.143129771,0.072289157,0.037609695,0.294520548,1,0.442935616
Dion Phaneuf,L,D,378,75,153,228,19,522,0.6,26,97,48,129,1,2,2,21,1150,DP,0.198412698,0.141221374,0.253012048,0.213121605,0.246575342,0.344289377,0.235719591
Kristian Huselius,L,L,216,74,108,182,33,102,0.84,46,95,26,83,2,4,0,15,482,KH,0.342592593,0.139312977,0.180722892,0.037609695,0.294520548,0.606601938,0.33941158
Willi Plett,R,R,232,72,85,157,-21,758,0.68,59,124,13,33,0,0,0,8,430,WP,0.310344828,0.135496183,0.096385542,0.311742583,0.109589041,0.547932219,0.218566761
Dan Quinn,L,C,222,72,119,191,-11,98,0.86,33,102,36,85,3,4,0,7,464,DQ,0.324324324,0.135496183,0.084337349,0.035938153,0.143835616,0.573365707,0.277876945
Jiri Hudler,L,R,248,68,124,192,7,69,0.77,54,147,14,45,0,0,2,6,403,JH,0.274193548,0.127862595,0.072289157,0.023819473,0.205479452,0.482160673,0.237031212
Kevin LaVallee,L,L,212,66,65,131,-20,63,0.62,56,103,10,28,0,0,0,7,438,KLV,0.311320755,0.124045802,0.084337349,0.02131216,0.113013699,0.549707765,0.270193929
Matthew Lombardi,L,C,347,65,102,167,18,225,0.48,43,120,11,34,11,13,1,17,678,ML,0.187319885,0.122137405,0.204819277,0.089009611,0.243150685,0.324107753,0.226464558
Steve Bozek,L,L,261,64,79,143,22,80,0.55,50,119,7,13,7,11,0,10,487,SB,0.245210728,0.120229008,0.120481928,0.028416214,0.256849315,0.429431005,0.238353024
Michael Frolik,L,R,319,63,82,145,9,158,0.45,51,123,3,9,9,13,2,11,700,MF,0.197492163,0.118320611,0.13253012,0.061011283,0.212328767,0.342614608,0.202940708
Sam Bennett,L,C,364,63,65,128,-53,300,0.35,51,105,12,22,0,1,0,5,613,SB,0.173076923,0.118320611,0.060240964,0.120351024,0,0.298194932,0.137160311
Jamie Macoun,L,D,586,62,184,246,213,666,0.42,54,219,4,18,4,9,1,6,966,JM,0.105802048,0.116412214,0.072289157,0.273297117,0.910958904,0.175798915,0.063445942
David Moss,R,R,317,61,63,124,-7,94,0.39,42,97,19,26,0,1,0,10,666,DM,0.192429022,0.114503817,0.120481928,0.034266611,0.157534247,0.333403022,0.198199232
Marc Savard,L,C,221,60,94,154,-35,158,0.7,38,100,21,52,1,2,3,11,542,MS,0.271493213,0.11259542,0.13253012,0.061011283,0.061643836,0.477247838,0.256221481
