Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Ales Kotalik,R,R,52,7,4,11,-6,37,0.21,5,8,2,3,0,0,0,3,134,5.2,13:29,57.9
Igor Kravchuk,L,D,115,4,30,34,-9,23,0.3,3,13,1,20,0,1,0,1,189,2.1,20:12,--
Sergei Krivokrasov,L,R,12,1,10,11,2,4,0.92,1,8,0,3,0,0,0,0,27,3.7,13:22,--
Richard Kromm,L,L,189,43,61,104,42,90,0.55,42,103,1,1,0,0,0,7,303,14.2,--,--
Staffan Kronwall,L,D,11,1,2,3,-1,2,0.27,1,3,0,0,0,0,0,1,6,16.7,9:54,--
Paul Kruse,L,L,246,24,29,53,0,614,0.22,24,53,0,0,0,0,0,3,226,10.6,--,--
Brett Kulak,L,D,101,2,9,11,-8,41,0.11,2,11,0,0,0,0,0,0,101,2,13:16,--
Oliver Kylington,L,D,87,5,10,15,-3,26,0.17,5,15,0,0,0,0,0,1,59,8.5,13:11,--
Jim Kyte,L,D,63,0,10,10,12,260,0.16,0,9,0,0,0,1,0,0,42,0,--,--
Dan Labraaten,R,L,70,19,19,38,-4,19,0.54,17,33,2,5,0,0,0,0,99,19.2,--,--
Sasha Lakovic,L,L,19,0,1,1,-1,54,0.05,0,1,0,0,0,0,0,0,10,0,--,--
Bobby Lalonde,L,C,4,0,1,1,1,2,0.25,0,1,0,0,0,0,0,0,3,0,--,--
Mark Lamb,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--
Eric Landry,L,C,15,1,1,2,-1,4,0.13,1,2,0,0,0,0,0,0,8,12.5,9:39,49.2
Daymond Langkow,L,C,392,123,165,288,47,159,0.73,80,174,40,104,3,10,1,22,912,13.5,18:37,45.5
Claude Lapointe,L,C,32,4,5,9,2,20,0.28,2,7,0,0,2,2,0,1,44,9.1,--,--
Guy Larose,L,C,7,0,1,1,-3,4,0.14,0,1,0,0,0,0,0,0,3,0,--,--
Kevin LaVallee,L,L,212,66,65,131,-20,63,0.62,56,103,10,28,0,0,0,7,438,15.1,--,--
